year,source,country,value
2000-01-01,domestic private excluding out-of-pocket,High income,909.617
2001-01-01,domestic private excluding out-of-pocket,High income,953.284
2002-01-01,domestic private excluding out-of-pocket,High income,1022.686
2003-01-01,domestic private excluding out-of-pocket,High income,1089.577
2004-01-01,domestic private excluding out-of-pocket,High income,1120.874
2005-01-01,domestic private excluding out-of-pocket,High income,1153.824
2006-01-01,domestic private excluding out-of-pocket,High income,1180.207
2007-01-01,domestic private excluding out-of-pocket,High income,1212.358
2008-01-01,domestic private excluding out-of-pocket,High income,1205.287
2009-01-01,domestic private excluding out-of-pocket,High income,1234.177
2010-01-01,domestic private excluding out-of-pocket,High income,1254.012
2011-01-01,domestic private excluding out-of-pocket,High income,1264.65
2012-01-01,domestic private excluding out-of-pocket,High income,1287.993
2013-01-01,domestic private excluding out-of-pocket,High income,1282.542
2014-01-01,domestic private excluding out-of-pocket,High income,1293.452
2015-01-01,domestic private excluding out-of-pocket,High income,1327.804
2016-01-01,domestic private excluding out-of-pocket,High income,1369.404
2017-01-01,domestic private excluding out-of-pocket,High income,1399.648
2018-01-01,domestic private excluding out-of-pocket,High income,1416.177
2019-01-01,domestic private excluding out-of-pocket,High income,1439.168
2020-01-01,domestic private excluding out-of-pocket,High income,1405.237
2021-01-01,domestic private excluding out-of-pocket,High income,1421.184
2000-01-01,domestic private excluding out-of-pocket,High income,963435.338
2001-01-01,domestic private excluding out-of-pocket,High income,1016080.279
2002-01-01,domestic private excluding out-of-pocket,High income,1096852.71
2003-01-01,domestic private excluding out-of-pocket,High income,1176031.869
2004-01-01,domestic private excluding out-of-pocket,High income,1217692.909
2005-01-01,domestic private excluding out-of-pocket,High income,1262155.043
2006-01-01,domestic private excluding out-of-pocket,High income,1300863.116
2007-01-01,domestic private excluding out-of-pocket,High income,1347651.32
2008-01-01,domestic private excluding out-of-pocket,High income,1351412.913
2009-01-01,domestic private excluding out-of-pocket,High income,1394877.6
2010-01-01,domestic private excluding out-of-pocket,High income,1427145.34
2011-01-01,domestic private excluding out-of-pocket,High income,1448477.606
2012-01-01,domestic private excluding out-of-pocket,High income,1484548.635
2013-01-01,domestic private excluding out-of-pocket,High income,1487116.795
2014-01-01,domestic private excluding out-of-pocket,High income,1508230.259
2015-01-01,domestic private excluding out-of-pocket,High income,1556851.67
2016-01-01,domestic private excluding out-of-pocket,High income,1614506.14
2017-01-01,domestic private excluding out-of-pocket,High income,1659101.571
2018-01-01,domestic private excluding out-of-pocket,High income,1687351.954
2019-01-01,domestic private excluding out-of-pocket,High income,1723016.59
2020-01-01,domestic private excluding out-of-pocket,High income,1686909.299
2021-01-01,domestic private excluding out-of-pocket,High income,1708091.298
2000-01-01,domestic private excluding out-of-pocket,High income,2.334
2001-01-01,domestic private excluding out-of-pocket,High income,2.425
2002-01-01,domestic private excluding out-of-pocket,High income,2.579
2003-01-01,domestic private excluding out-of-pocket,High income,2.707
2004-01-01,domestic private excluding out-of-pocket,High income,2.713
2005-01-01,domestic private excluding out-of-pocket,High income,2.734
2006-01-01,domestic private excluding out-of-pocket,High income,2.735
2007-01-01,domestic private excluding out-of-pocket,High income,2.76
2008-01-01,domestic private excluding out-of-pocket,High income,2.753
2009-01-01,domestic private excluding out-of-pocket,High income,2.938
2010-01-01,domestic private excluding out-of-pocket,High income,2.92
2011-01-01,domestic private excluding out-of-pocket,High income,2.908
2012-01-01,domestic private excluding out-of-pocket,High income,2.939
2013-01-01,domestic private excluding out-of-pocket,High income,2.902
2014-01-01,domestic private excluding out-of-pocket,High income,2.884
2015-01-01,domestic private excluding out-of-pocket,High income,2.907
2016-01-01,domestic private excluding out-of-pocket,High income,2.96
2017-01-01,domestic private excluding out-of-pocket,High income,2.971
2018-01-01,domestic private excluding out-of-pocket,High income,2.952
2019-01-01,domestic private excluding out-of-pocket,High income,2.962
2020-01-01,domestic private excluding out-of-pocket,High income,3.029
2021-01-01,domestic private excluding out-of-pocket,High income,2.907
2000-01-01,domestic private excluding out-of-pocket,High income,19.78
2001-01-01,domestic private excluding out-of-pocket,High income,19.79
2002-01-01,domestic private excluding out-of-pocket,High income,20.08
2003-01-01,domestic private excluding out-of-pocket,High income,20.37
2004-01-01,domestic private excluding out-of-pocket,High income,20.35
2005-01-01,domestic private excluding out-of-pocket,High income,20.39
2006-01-01,domestic private excluding out-of-pocket,High income,20.31
2007-01-01,domestic private excluding out-of-pocket,High income,20.39
2008-01-01,domestic private excluding out-of-pocket,High income,19.98
2009-01-01,domestic private excluding out-of-pocket,High income,19.81
2010-01-01,domestic private excluding out-of-pocket,High income,19.78
2011-01-01,domestic private excluding out-of-pocket,High income,19.64
2012-01-01,domestic private excluding out-of-pocket,High income,19.72
2013-01-01,domestic private excluding out-of-pocket,High income,19.54
2014-01-01,domestic private excluding out-of-pocket,High income,19.26
2015-01-01,domestic private excluding out-of-pocket,High income,19.17
2016-01-01,domestic private excluding out-of-pocket,High income,19.27
2017-01-01,domestic private excluding out-of-pocket,High income,19.38
2018-01-01,domestic private excluding out-of-pocket,High income,19.33
2019-01-01,domestic private excluding out-of-pocket,High income,19.23
2020-01-01,domestic private excluding out-of-pocket,High income,17.93
2021-01-01,domestic private excluding out-of-pocket,High income,17.93
