iso3_code,year,value,condition,source,entity_name,value_annotation
AFG,2022,21119855.090772215,Injuries,External,Afghanistan,21.12 million
AFG,2022,20959321.77687547,Malaria,Private and out-of-pocket,Afghanistan,20.96 million
AFG,2022,998917.7507931656,Maternal health,Domestic government,Afghanistan,"998,918"
AFG,2022,53699869.65378919,Noncommunicable diseases,External,Afghanistan,53.70 million
AFG,2022,60304.18395234834,HIV/AIDS and other STDs,Domestic government,Afghanistan,"60,304"
AFG,2022,424224241.49845046,Maternal health,Private and out-of-pocket,Afghanistan,424.22 million
AFG,2022,25973709.268827505,HIV/AIDS and other STDs,Private and out-of-pocket,Afghanistan,25.97 million
AFG,2022,110723138.43750235,Nutritional deficiencies,External,Afghanistan,110.72 million
AFG,2022,12960235.132177172,Family planning,Private and out-of-pocket,Afghanistan,12.96 million
AFG,2022,152142.1293397523,Nutritional deficiencies,Domestic government,Afghanistan,"152,142"
AFG,2022,77411.37240115166,Tuberculosis,Domestic government,Afghanistan,"77,411"
AFG,2022,29824946.223652013,Tuberculosis,Private and out-of-pocket,Afghanistan,29.82 million
AFG,2022,67261979.99283646,Nutritional deficiencies,Private and out-of-pocket,Afghanistan,67.26 million
AFG,2022,13631337.390752034,Family planning,External,Afghanistan,13.63 million
AFG,2022,12558383.583331728,Tuberculosis,External,Afghanistan,12.56 million
AFG,2022,474967.3760616015,Injuries,Domestic government,Afghanistan,"474,967"
AFG,2022,431680152.903693,Noncommunicable diseases,Private and out-of-pocket,Afghanistan,431.68 million
AFG,2022,8396943.280194642,Noncommunicable diseases,Domestic government,Afghanistan,8.40 million
AFG,2022,11549179.629230533,HIV/AIDS and other STDs,External,Afghanistan,11.55 million
AFG,2022,34352095.65687093,Maternal health,External,Afghanistan,34.35 million
AFG,2022,29315.138246405684,Family planning,Domestic government,Afghanistan,"29,315"
AFG,2022,157289401.84632143,Injuries,Private and out-of-pocket,Afghanistan,157.29 million
AFG,2022,50722.2896882252,Malaria,Domestic government,Afghanistan,"50,722"
AFG,2022,13328027.700522184,Malaria,External,Afghanistan,13.33 million
ARM,2022,382543.3664810353,Tuberculosis,Domestic government,Armenia,"382,543"
ARM,2022,1336105.0644736728,HIV/AIDS and other STDs,Domestic government,Armenia,1.34 million
ARM,2022,270940.24131318886,HIV/AIDS and other STDs,Private and out-of-pocket,Armenia,"270,940"
ARM,2022,14142497.039614271,Injuries,Domestic government,Armenia,14.14 million
ARM,2022,0.0,Tuberculosis,Private and out-of-pocket,Armenia,0
ARM,2022,4114620.7095707688,Nutritional deficiencies,Domestic government,Armenia,4.11 million
ARM,2022,0.0,Family planning,Domestic government,Armenia,0
ARM,2022,52607146.28325539,Injuries,Private and out-of-pocket,Armenia,52.61 million
ARM,2022,164.48372630238467,Tuberculosis,External,Armenia,164
ARM,2022,1079660221.5217066,Noncommunicable diseases,Private and out-of-pocket,Armenia,1.08 billion
ARM,2022,0.0,Maternal health,External,Armenia,0
ARM,2022,15855383.079362135,Nutritional deficiencies,Private and out-of-pocket,Armenia,15.86 million
ARM,2022,427265.0712862279,Injuries,External,Armenia,"427,265"
ARM,2022,0.0,Family planning,External,Armenia,0
ARM,2022,0.0,Family planning,Private and out-of-pocket,Armenia,0
ARM,2022,180013.9648198552,Nutritional deficiencies,External,Armenia,"180,014"
ARM,2022,27951851.033382896,Maternal health,Private and out-of-pocket,Armenia,27.95 million
ARM,2022,185942148.05054876,Noncommunicable diseases,Domestic government,Armenia,185.94 million
ARM,2022,946050.462487106,Noncommunicable diseases,External,Armenia,"946,050"
ARM,2022,15733114.31995413,Maternal health,Domestic government,Armenia,15.73 million
ARM,2022,2030239.5733247148,HIV/AIDS and other STDs,External,Armenia,2.03 million
BEN,2018,185142.63478931537,Family planning,Domestic government,Benin,"185,143"
BEN,2018,7923671.83176326,Maternal health,Domestic government,Benin,7.92 million
BEN,2018,21867619.7519719,HIV/AIDS and other STDs,External,Benin,21.87 million
BEN,2018,746359.5322017359,Tuberculosis,Domestic government,Benin,"746,360"
BEN,2018,4072432.8958564727,HIV/AIDS and other STDs,Domestic government,Benin,4.07 million
BEN,2018,1428745.5630449313,Injuries,External,Benin,1.43 million
BEN,2018,1464261.0632486502,Noncommunicable diseases,External,Benin,1.46 million
BEN,2018,1810904.1922947012,Nutritional deficiencies,External,Benin,1.81 million
BEN,2018,8557020.658818463,Family planning,External,Benin,8.56 million
BEN,2018,2165505.471871127,Maternal health,External,Benin,2.17 million
BEN,2018,7059002.847049234,Malaria,Domestic government,Benin,7.06 million
BEN,2018,743873.2339304078,Nutritional deficiencies,Domestic government,Benin,"743,873"
BEN,2018,1521281.598014605,Tuberculosis,External,Benin,1.52 million
BEN,2018,34060083.63467877,Malaria,Private and out-of-pocket,Benin,34.06 million
BEN,2018,37259777.418602146,Malaria,External,Benin,37.26 million
BEN,2018,14728973.29651475,Noncommunicable diseases,Domestic government,Benin,14.73 million
BEN,2018,7030.972231056331,Tuberculosis,Private and out-of-pocket,Benin,"7,031"
BEN,2018,10101495.13777023,Maternal health,Private and out-of-pocket,Benin,10.10 million
BEN,2018,12984555.48914434,Injuries,Private and out-of-pocket,Benin,12.98 million
BEN,2018,1385066.0595401735,Injuries,Domestic government,Benin,1.39 million
BEN,2018,12411560.683340443,Noncommunicable diseases,Private and out-of-pocket,Benin,12.41 million
BEN,2018,5127010.740460871,Nutritional deficiencies,Private and out-of-pocket,Benin,5.13 million
BEN,2018,6169431.512550288,Family planning,Private and out-of-pocket,Benin,6.17 million
BEN,2018,302684.01922499336,HIV/AIDS and other STDs,Private and out-of-pocket,Benin,"302,684"
BWA,2019,16733209.235284334,Nutritional deficiencies,Domestic government,Botswana,16.73 million
BWA,2019,7391209.725430103,Maternal health,Private and out-of-pocket,Botswana,7.39 million
BWA,2019,461010.630903103,Noncommunicable diseases,External,Botswana,"461,011"
BWA,2019,498167.7321019926,Tuberculosis,External,Botswana,"498,168"
BWA,2019,10187063.129235242,Malaria,Private and out-of-pocket,Botswana,10.19 million
BWA,2019,89802203.30605628,Noncommunicable diseases,Private and out-of-pocket,Botswana,89.80 million
BWA,2019,3168293.433609094,Injuries,Private and out-of-pocket,Botswana,3.17 million
BWA,2019,113346.8122401872,Maternal health,External,Botswana,"113,347"
BWA,2019,105986417.9478842,HIV/AIDS and other STDs,External,Botswana,105.99 million
BWA,2019,417454.74087862694,Nutritional deficiencies,External,Botswana,"417,455"
BWA,2019,2915260.925600359,Nutritional deficiencies,Private and out-of-pocket,Botswana,2.92 million
BWA,2019,1738341.160097303,Malaria,External,Botswana,1.74 million
BWA,2019,118005253.72768202,HIV/AIDS and other STDs,Domestic government,Botswana,118.01 million
BWA,2019,255755877.2830397,Noncommunicable diseases,Domestic government,Botswana,255.76 million
BWA,2019,26616111.84495626,Maternal health,Domestic government,Botswana,26.62 million
BWA,2019,4722694.782589539,Tuberculosis,Private and out-of-pocket,Botswana,4.72 million
BWA,2019,39002844.62234945,Injuries,Domestic government,Botswana,39.00 million
BWA,2019,33839446.81045361,Tuberculosis,Domestic government,Botswana,33.84 million
BWA,2019,54812093.8867851,Malaria,Domestic government,Botswana,54.81 million
BWA,2019,13614695.753158407,HIV/AIDS and other STDs,Private and out-of-pocket,Botswana,13.61 million
BFA,2022,25834798.42735966,Maternal health,Private and out-of-pocket,Burkina Faso,25.83 million
BFA,2022,106689557.12147243,Malaria,External,Burkina Faso,106.69 million
BFA,2022,4195637.280577713,Nutritional deficiencies,Domestic government,Burkina Faso,4.20 million
BFA,2022,11152395.799329968,Injuries,Private and out-of-pocket,Burkina Faso,11.15 million
BFA,2022,685387.008164038,Injuries,External,Burkina Faso,"685,387"
BFA,2022,13485797.455410996,Maternal health,External,Burkina Faso,13.49 million
BFA,2022,69936707.78685701,Maternal health,Domestic government,Burkina Faso,69.94 million
BFA,2022,11944859.826516813,HIV/AIDS and other STDs,Domestic government,Burkina Faso,11.94 million
BFA,2022,159407456.80463034,Noncommunicable diseases,Private and out-of-pocket,Burkina Faso,159.41 million
BFA,2022,57319532.76995809,Noncommunicable diseases,Domestic government,Burkina Faso,57.32 million
BFA,2022,17142695.945602365,Family planning,External,Burkina Faso,17.14 million
BFA,2022,57059701.06052967,Malaria,Domestic government,Burkina Faso,57.06 million
BFA,2022,312487.42987986637,Nutritional deficiencies,Private and out-of-pocket,Burkina Faso,"312,487"
BFA,2022,2171996.002504624,HIV/AIDS and other STDs,Private and out-of-pocket,Burkina Faso,2.17 million
BFA,2022,10968885.272354588,Injuries,Domestic government,Burkina Faso,10.97 million
BFA,2022,17784834.902985558,Nutritional deficiencies,External,Burkina Faso,17.78 million
BFA,2022,2026758.4418898013,Family planning,Private and out-of-pocket,Burkina Faso,2.03 million
BFA,2022,401488.03192102007,Tuberculosis,Domestic government,Burkina Faso,"401,488"
BFA,2022,3043085.274009835,Noncommunicable diseases,External,Burkina Faso,3.04 million
BFA,2022,82623622.87204914,Malaria,Private and out-of-pocket,Burkina Faso,82.62 million
BFA,2022,4981914.648439868,Family planning,Domestic government,Burkina Faso,4.98 million
BFA,2022,3416143.0133772837,Tuberculosis,External,Burkina Faso,3.42 million
BFA,2022,22549075.351534165,HIV/AIDS and other STDs,External,Burkina Faso,22.55 million
BDI,2020,130609.18456864342,HIV/AIDS and other STDs,Private and out-of-pocket,Burundi,"130,609"
BDI,2020,5627453.669972258,Injuries,Domestic government,Burundi,5.63 million
BDI,2020,8889873.603084333,Injuries,External,Burundi,8.89 million
BDI,2020,4735845.869054192,Noncommunicable diseases,Domestic government,Burundi,4.74 million
BDI,2020,427551.9330824765,Nutritional deficiencies,Domestic government,Burundi,"427,552"
BDI,2020,8329247.4780518515,Family planning,External,Burundi,8.33 million
BDI,2020,48922746.80102464,Malaria,External,Burundi,48.92 million
BDI,2020,1654341.466096743,Tuberculosis,External,Burundi,1.65 million
BDI,2020,33040896.762209073,Maternal health,External,Burundi,33.04 million
BDI,2020,139040.36225811866,Family planning,Domestic government,Burundi,"139,040"
BDI,2020,21768161.370001514,Maternal health,Domestic government,Burundi,21.77 million
BDI,2020,501574.6957492153,HIV/AIDS and other STDs,Domestic government,Burundi,"501,575"
BDI,2020,22511312.855507538,Malaria,Domestic government,Burundi,22.51 million
BDI,2020,2610191.247180165,Noncommunicable diseases,External,Burundi,2.61 million
BDI,2020,28746248.050160307,Malaria,Private and out-of-pocket,Burundi,28.75 million
BDI,2020,128118.1787782755,Tuberculosis,Domestic government,Burundi,"128,118"
BDI,2020,27504152.58381599,Maternal health,Private and out-of-pocket,Burundi,27.50 million
BDI,2020,37996137.51490375,HIV/AIDS and other STDs,External,Burundi,38.00 million
BDI,2020,7267700.134145635,Injuries,Private and out-of-pocket,Burundi,7.27 million
BDI,2020,321505.90349014086,Nutritional deficiencies,Private and out-of-pocket,Burundi,"321,506"
BDI,2020,10366322.564241068,Nutritional deficiencies,External,Burundi,10.37 million
BDI,2020,181524.17131887103,Family planning,Private and out-of-pocket,Burundi,"181,524"
BDI,2020,5357156.3724009935,Noncommunicable diseases,Private and out-of-pocket,Burundi,5.36 million
CPV,2019,3904291.3328401246,HIV/AIDS and other STDs,External,Cabo Verde,3.90 million
CPV,2019,186172.7892871735,HIV/AIDS and other STDs,Domestic government,Cabo Verde,"186,173"
CPV,2019,794515.2407223627,Malaria,External,Cabo Verde,"794,515"
CPV,2019,53632.55854603766,Malaria,Domestic government,Cabo Verde,"53,633"
