Code,Income group
AND,High income
IRL,High income
ROU,High income
MCO,High income
NZL,High income
ATG,High income
QAT,High income
BMU,High income
AUT,High income
GUY,High income
ASM,High income
LVA,High income
LTU,High income
RUS,High income
SAU,High income
CHL,High income
SWE,High income
CHE,High income
DEU,High income
IMN,High income
ABW,High income
MAF,High income
NLD,High income
VGB,High income
CHI,High income
GUM,High income
TTO,High income
URY,High income
NOR,High income
PLW,High income
LUX,High income
DNK,High income
GRC,High income
BRN,High income
MLT,High income
SVK,High income
BHS,High income
AUS,High income
ISR,High income
JPN,High income
KWT,High income
HRV,High income
ESP,High income
CYM,High income
LIE,High income
KNA,High income
SXM,High income
FRO,High income
USA,High income
PYF,High income
CZE,High income
CAN,High income
VIR,High income
BHR,High income
BEL,High income
BGR,High income
SGP,High income
MNP,High income
ISL,High income
FRA,High income
EST,High income
HKG,High income
PAN,High income
GBR,High income
PRT,High income
SYC,High income
CUW,High income
GRL,High income
POL,High income
GIB,High income
HUN,High income
SVN,High income
BRB,High income
KOR,High income
TCA,High income
NCL,High income
FIN,High income
PRI,High income
OMN,High income
SMR,High income
NRU,High income
ITA,High income
MAC,High income
CYP,High income
ARE,High income
VEN,Not classified
SLE,Low income
COD,Low income
AFG,Low income
BDI,Low income
NER,Low income
LBR,Low income
GMB,Low income
MDG,Low income
TGO,Low income
BFA,Low income
UGA,Low income
CAF,Low income
SOM,Low income
MLI,Low income
ERI,Low income
SYR,Low income
MWI,Low income
MOZ,Low income
GNB,Low income
PRK,Low income
SSD,Low income
ETH,Low income
RWA,Low income
YEM,Low income
TCD,Low income
SDN,Low income
MAR,Lower middle income
TUN,Lower middle income
ZMB,Lower middle income
FSM,Lower middle income
TZA,Lower middle income
JOR,Lower middle income
PHL,Lower middle income
MMR,Lower middle income
NGA,Lower middle income
LAO,Lower middle income
BEN,Lower middle income
LSO,Lower middle income
KEN,Lower middle income
COM,Lower middle income
DJI,Lower middle income
STP,Lower middle income
KIR,Lower middle income
SWZ,Lower middle income
COG,Lower middle income
IND,Lower middle income
HND,Lower middle income
AGO,Lower middle income
BTN,Lower middle income
LKA,Lower middle income
WSM,Lower middle income
GIN,Lower middle income
CMR,Lower middle income
UZB,Lower middle income
VNM,Lower middle income
LBN,Lower middle income
BOL,Lower middle income
SLB,Lower middle income
EGY,Lower middle income
KGZ,Lower middle income
PAK,Lower middle income
CIV,Lower middle income
TLS,Lower middle income
ZWE,Lower middle income
PSE,Lower middle income
GHA,Lower middle income
KHM,Lower middle income
NPL,Lower middle income
VUT,Lower middle income
HTI,Lower middle income
CPV,Lower middle income
MRT,Lower middle income
SEN,Lower middle income
PNG,Lower middle income
NIC,Lower middle income
BGD,Lower middle income
TJK,Lower middle income
TKM,Upper middle income
FJI,Upper middle income
TUR,Upper middle income
IRN,Upper middle income
ECU,Upper middle income
MYS,Upper middle income
PRY,Upper middle income
SLV,Upper middle income
COL,Upper middle income
LBY,Upper middle income
BWA,Upper middle income
IRQ,Upper middle income
MDV,Upper middle income
BIH,Upper middle income
TUV,Upper middle income
XKX,Upper middle income
SRB,Upper middle income
ARM,Upper middle income
ALB,Upper middle income
JAM,Upper middle income
UKR,Upper middle income
GEO,Upper middle income
IDN,Upper middle income
BLR,Upper middle income
GNQ,Upper middle income
GTM,Upper middle income
TON,Upper middle income
ZAF,Upper middle income
MUS,Upper middle income
CUB,Upper middle income
BLZ,Upper middle income
NAM,Upper middle income
DMA,Upper middle income
MEX,Upper middle income
CRI,Upper middle income
MKD,Upper middle income
DZA,Upper middle income
LCA,Upper middle income
BRA,Upper middle income
CHN,Upper middle income
MNG,Upper middle income
GRD,Upper middle income
ARG,Upper middle income
MNE,Upper middle income
AZE,Upper middle income
THA,Upper middle income
MDA,Upper middle income
PER,Upper middle income
VCT,Upper middle income
GAB,Upper middle income
SUR,Upper middle income
DOM,Upper middle income
KAZ,Upper middle income
MHL,Upper middle income
